repo_name,ai_tool,commit_count,stars,language,url
0ca/BoxPwnr,cursor,1,219,Python,https://github.com/0ca/BoxPwnr
0x2E/fusion,copilot,4,1968,Go,https://github.com/0x2E/fusion
0x676e67/rnet,copilot,1,1214,Rust,https://github.com/0x676e67/rnet
0x80/isolate-package,cursor,8,184,TypeScript,https://github.com/0x80/isolate-package
0xCUB3/wBlock,copilot,2,2233,JavaScript,https://github.com/0xCUB3/wBlock
0xfurai/peekaping,cursor,11,1026,Go,https://github.com/0xfurai/peekaping
0xgasless/agentkit,copilot,1,414,TypeScript,https://github.com/0xgasless/agentkit
0xJacky/nginx-ui,copilot,1,10605,Go,https://github.com/0xJacky/nginx-ui
0xsequence/sequence.js,copilot,2,313,TypeScript,https://github.com/0xsequence/sequence.js
10up/block-components,copilot,8,323,TypeScript,https://github.com/10up/block-components
10up/distributor,copilot,9,698,PHP,https://github.com/10up/distributor
1226085293/MKFramework,copilot,2,306,TypeScript,https://github.com/1226085293/MKFramework
14790897/auto-read-liunxdo,copilot,3,748,JavaScript,https://github.com/14790897/auto-read-liunxdo
14790897/handwriting-web,copilot,6,536,Vue,https://github.com/14790897/handwriting-web
15Dkatz/python-blockchain-tutorial,cursor,1,130,Python,https://github.com/15Dkatz/python-blockchain-tutorial
1996scarlet/OpenVtuber,copilot,1,951,Python,https://github.com/1996scarlet/OpenVtuber
1a1a11a/libCacheSim,copilot,18,286,C++,https://github.com/1a1a11a/libCacheSim
1c-syntax/bsl-language-server,coderabbit,1,385,Java,https://github.com/1c-syntax/bsl-language-server
1c-syntax/vsc-language-1c-bsl,copilot,13,160,TypeScript,https://github.com/1c-syntax/vsc-language-1c-bsl
1chooo/1chooo.com,copilot,12,318,TypeScript,https://github.com/1chooo/1chooo.com
1chooo/portfolio,copilot,4,318,TypeScript,https://github.com/1chooo/portfolio
1History/1History,copilot,2,529,JavaScript,https://github.com/1History/1History
1mcp-app/agent,claude,1,372,TypeScript,https://github.com/1mcp-app/agent
1Panel-dev/1Panel,,2,33942,Go,https://github.com/1Panel-dev/1Panel
1technophile/OpenMQTTGateway,,10,3966,C++,https://github.com/1technophile/OpenMQTTGateway
238SAMIxD/discord-ai-bot,copilot,2,290,JavaScript,https://github.com/238SAMIxD/discord-ai-bot
2anki/server,coderabbit,11,314,TypeScript,https://github.com/2anki/server
3dg1luk43/ha_washdata,copilot,8,563,Python,https://github.com/3dg1luk43/ha_washdata
3dgeo-heidelberg/helios,copilot,4,261,Jupyter Notebook,https://github.com/3dgeo-heidelberg/helios
4gray/iptvnator,copilot,3,5576,TypeScript,https://github.com/4gray/iptvnator
4ian/GDevelop,cursor,10,20346,JavaScript,https://github.com/4ian/GDevelop
4n4nd/prometheus-api-client-python,copilot,7,270,Python,https://github.com/4n4nd/prometheus-api-client-python
514-labs/moose,copilot,114,526,Rust,https://github.com/514-labs/moose
